Year,Linear_Projection,Linear_Exceeds_Threshold,Quadratic_Projection,Quadratic_Exceeds_Threshold
2000,0.43973677730720695,False,0.5016515432013762,False
2005,0.4784925637742603,False,0.5861549687436991,False
2010,0.5172483502413154,False,0.6750999126427359,False
2015,0.5560041367083688,False,0.7684863748986004,False
2020,0.5947599231754221,False,0.8663143555112924,False
2025,0.6335157096424755,False,0.9685838544808121,False
2030,0.6722714961095306,False,1.0752948718071025,False
2035,0.711027282576584,False,1.1864474074903342,False
2040,0.7497830690436373,False,1.3020414615302798,False
2045,0.7885388555106907,False,1.422077033927053,False
2050,0.8272946419777458,False,1.546554124680597,False
